Zip_Code,Improvement,Hydrologic_Soil_Group,Sq_Ft,Residential,Meadow
37027,Yes,clay_loam,800,0.43,0.35
37027,Yes,clay_loam,1000,0.43,0.35
37027,Yes,clay_loam,500,0.43,0.35
37027,Yes,clay_loam,1000,0.43,0.35
37027,Yes,clay_loam,2000,0.43,0.35
37032,Yes,clay_loam,1000,0.43,0.35
37037,Yes,clay_loam,500,0.43,0.35
37064,Yes,clay_loam,5000,0.43,0.35
37067,Yes,clay_loam,30,0.43,0.35
37072,Yes,clay_loam,8000,0.41,0.35
37073,Yes,clay_loam,750,0.43,0.35
37075,Yes,clay_loam,200,0.43,0.35
37076,Yes,clay_loam,250,0.43,0.35
37080,Yes,clay_loam,8,0.43,0.35
37087,Yes,clay_loam,26302,0.36,0.35
37110,Yes,clay_loam,3,0.43,0.35
37115,Yes,clay_loam,250,0.43,0.35
37129,Yes,clay_loam,80000,0.33,0.35
37129,Yes,clay_loam,59,0.43,0.35
37138,Yes,clay_loam,25,0.43,0.35
37138,Yes,clay_loam,500,0.43,0.35
37141,Yes,clay_loam,3000,0.43,0.35
37174,Yes,clay_loam,400,0.43,0.35
37174,Yes,clay_loam,800,0.43,0.35
37184,Yes,clay_loam,43560,0.33,0.35
37205,Yes,clay_loam,50,0.43,0.35
37205,Yes,clay_loam,500,0.43,0.35
37205,Yes,clay_loam,100,0.43,0.35
37206,Yes,clay_loam,400,0.43,0.35
37206,Yes,clay_loam,15,0.43,0.35
37206,Yes,clay_loam,200,0.43,0.35
37207,Yes,clay_loam,27,0.43,0.35
37209,Yes,clay_loam,155,0.43,0.35
37211,Yes,clay_loam,30,0.43,0.35
37211,Yes,clay_loam,20,0.43,0.35
37211,Yes,clay_loam,1000,0.43,0.35
37211,Yes,clay_loam,40,0.43,0.35
37211,Yes,clay_loam,6670,0.41,0.35
37212,Yes,clay_loam,100,0.43,0.35
37212,Yes,clay_loam,200,0.43,0.35
37212,Yes,clay_loam,18,0.43,0.35
37212,Yes,clay_loam,100,0.43,0.35
37214,Yes,clay_loam,600,0.43,0.35
37215,Yes,clay_loam,40,0.43,0.35
37216,Yes,clay_loam,75,0.43,0.35
37216,Yes,clay_loam,400,0.43,0.35
37216,Yes,clay_loam,500,0.43,0.35
37216,Yes,clay_loam,12,0.43,0.35
37217,Yes,clay_loam,100,0.43,0.35
37218,Yes,clay_loam,2000,0.43,0.35
37221,Yes,clay_loam,20,0.43,0.35
37221,Yes,clay_loam,300,0.43,0.35
37303,Yes,clay_loam,300,0.43,0.35
37323,Yes,clay_loam,50,0.43,0.35
37343,Yes,clay_loam,2000,0.43,0.35
37353,Yes,clay_loam,8,0.43,0.35
37354,Yes,clay_loam,63,0.43,0.35
37379,Yes,clay_loam,200,0.43,0.35
37404,Yes,clay_loam,400,0.43,0.35
37415,Yes,clay_loam,500,0.43,0.35
37416,Yes,clay_loam,1000,0.43,0.35
37701,Yes,clay_loam,5000,0.43,0.35
37774,Yes,clay_loam,60,0.43,0.35
37774,Yes,clay_loam,15000,0.36,0.35
37774,Yes,clay_loam,500,0.43,0.35
37774,Yes,clay_loam,5000,0.43,0.35
37774,Yes,clay_loam,200,0.43,0.35
37801,Yes,clay_loam,150,0.43,0.35
37803,Yes,clay_loam,60,0.43,0.35
37803,Yes,clay_loam,500,0.43,0.35
37803,Yes,clay_loam,200,0.43,0.35
37803,Yes,clay_loam,75,0.43,0.35
37804,Yes,clay_loam,2400,0.43,0.35
37830,Yes,clay_loam,100,0.43,0.35
37830,Yes,clay_loam,3600,0.43,0.35
37830,Yes,clay_loam,10000,0.41,0.35
37849,Yes,clay_loam,500,0.43,0.35
37877,Yes,clay_loam,200,0.43,0.35
37882,Yes,clay_loam,50,0.43,0.35
37882,Yes,clay_loam,43560,0.33,0.35
37909,Yes,clay_loam,1000,0.43,0.35
37912,Yes,clay_loam,470,0.43,0.35
37914,Yes,clay_loam,1000,0.43,0.35
37917,Yes,clay_loam,200,0.43,0.35
37918,Yes,clay_loam,20,0.43,0.35
37918,Yes,clay_loam,1000,0.43,0.35
37918,Yes,clay_loam,6000,0.41,0.35
37918,Yes,clay_loam,800,0.43,0.35
37919,Yes,clay_loam,20,0.43,0.35
37919,Yes,clay_loam,50,0.43,0.35
37920,Yes,clay_loam,5000,0.43,0.35
37920,Yes,clay_loam,30000,0.36,0.35
37922,Yes,clay_loam,50,0.43,0.35
37923,Yes,clay_loam,10,0.43,0.35
37923,Yes,clay_loam,100,0.43,0.35
37932,Yes,clay_loam,200,0.43,0.35
37934,Yes,clay_loam,750,0.43,0.35
37934,Yes,clay_loam,35,0.43,0.35
37934,Yes,clay_loam,500,0.43,0.35
37934,Yes,clay_loam,9500,0.41,0.35
38002,Yes,clay_loam,3000,0.43,0.35
38017,Yes,clay_loam,4000,0.43,0.35
38060,Yes,clay_loam,13000,0.39,0.35
38112,Yes,clay_loam,500,0.43,0.35
38119,Yes,clay_loam,600,0.43,0.35
38122,Yes,clay_loam,300,0.43,0.35
38301,Yes,clay_loam,8,0.43,0.35
38301,Yes,clay_loam,150,0.43,0.35
38305,Yes,clay_loam,20000,0.36,0.35
38305,Yes,clay_loam,6000,0.41,0.35
38343,Yes,clay_loam,43650,0.33,0.35
38358,Yes,clay_loam,25,0.43,0.35
38358,Yes,clay_loam,8500,0.41,0.35
38362,Yes,clay_loam,200,0.43,0.35
38371,Yes,clay_loam,400,0.43,0.35
38380,Yes,clay_loam,10,0.43,0.35
38401,Yes,clay_loam,1200,0.43,0.35
38462,Yes,clay_loam,5000,0.43,0.35
38464,Yes,clay_loam,10890,0.41,0.35
38504,Yes,clay_loam,200,0.43,0.35
38544,Yes,clay_loam,50,0.43,0.35
38562,Yes,clay_loam,100,0.43,0.35
38572,Yes,clay_loam,20,0.43,0.35
